ID ,"How many minutes did you sleep LAST NIGHT - i.e., the night before you took the cognitive tests? ",What was your MEAN number of times you awoke during the night?,What was the STANDARD DEVIATION of the number of times you awoke during the night?,What was your MEAN total minutes of sleep DURING THE NIGHT?,What was the STANDARD DEVIATION of your total minutes of sleep DURING THE NIGHT?,What was your MEAN restfulness rank?,What was the STANDARD DEVIATION of your restfulness rank?,What was your MEAN total MINUTES of active exercise over past 24 hours?,What was the STANDARD DEVIATION of the total MINUTES of active exercise over past 24 hours?,What was your MEAN stress level over the last 24 hours?,What was the STANDARD DEVIATION of your stress level over the last 24 hours?,What was your MEAN amount of caffeine (mg) you ingested in the past 24 hours?,What was the STANDARD DEVIATION of the amount of caffeine (mg) you ingested in the past 24 hours?,How many nights did you take something to help you sleep last week ,What was your mean RT?,What was your median RT?,What was your max RT?,What was your min RT?,What was your mean RT500?,What was your median RT500?,What was your max RT500??,What was your min RT500?,What was your number of lapses (column X)?,What was your mean lapse RT?,What was your cumulative lapse RT ?,What was your count of false starts ?,What was your false start RT?,"Memory Test: What was the total time it took you to complete the first test, in SECONDS? Do NOT record this in minutes and seconds.",Memory test: How many errors did you have on your first test?,"Memory Test: What was the total time it took you to complete the second test, in SECONDS? Do NOT record this in minutes and seconds.",Memory test: How many errors did you have on your second test?,"How rested do you feel right now, on a scale of 1-10, where 1=not rested at all and 10=very well rested? Please note, if you are filling out this survey AFTER your lab has ended, try to answer this based on how rested you felt DURING lab.",What was your MEAN total minutes of sleep DURING THE NIGHT?,Memory Test 1: Herustic score,Memory Test 2: Herustic score
298,430,4,1.005,426.7855,64.476,6.5715,1.3885,81.0715,31.0475,6.714,1.0545,127.5,15.779,0,410.1932,385,1302.5,300,380.0249,377.5,496.5,300,8.5,169.1111,1412.5,0.5,0.617284,121.5,0,123,0,6.5,426.7855,121.5,123
299,345,4,1.492,415.7145,67.4515,5.5715,2.821,27.857,20.0335,6.357,2.176,115,82.6015,0,349.9417,331.75,519,268.5,337.6326,331,475,268.5,1,19,19,2.5,3.1493505,159.5,4.5,124,0.5,6,407.143,182,126.5
300,423,3.143,1.066,489.786,54.6875,7.643,0.7175,55.5715,45.818,6.2145,1.885,20.7145,18.1265,2,371.70105,354.75,834,275.5,362.4168,354,496.5,275.5,2,NA,NA,0,0,178.85,0,170.36,0,7,485.5,178.85,170.36
301,450,1.0715,1.0765,493.929,92.9725,6.7145,2.285,58.9285,15.1855,4.857,1.9215,58.5,71.0805,3,382.6770082,364.5,668,291.5,367.1992754,363,487,291.5,4.5,76.3125,568.5,0,0,104.405,0,109.585,0,4,493.929,104.405,109.585
302,442.5,0.2145,0.3935,465.714,83.0605,7.8575,1.4465,22.857,24.2865,6.5,1.871,172.1425,197.6825,2.5,371,346,947,279,349.1780377,341.75,484,279,6.5,139.3055556,870,0.5,0.588235294,107.835,0,98.985,0,7.5,465.714,107.835,98.985
303,435,1.4285,1.8075,450,37.85,4.6285,1.5365,54.85,35.1,7.2,1.3,0,0,0,337.21,317,811.5,271,325.5,316.5,504,280,2.5,NA,NA,0,0,135.5,0,115.5,0.5,3.5,450,135.5,118
304,495,0.143,0.244,469.2855,67.4745,4.857,2.152,20,19.0505,5.9285,2.0865,27.5715,28.366,0.5,442.853182,414.25,1144,291,392.3169399,394.5,485.5,291,17,134.6022728,2317.5,1,1.24343528,155,0.5,135.5,0,4,439.2855,157.5,135.5
305,435,1.2145,1.434,488.9285,92.8095,6.5,2.734,27.857,44.1985,5.2855,2.57,77.4285,118.915,1,323.18,312.5,499,263,321.7419,311.5,437,263,0.5,NA,NA,0,0,129.5,0,115.5,0,5.5,461.0715,129.5,115.5
306,487.5,0.786,1.1055,471.7855,55.114,7.2145,1.7265,39.643,17.1305,5.2855,2.035,155.714,102.5685,4.5,350.42825,335.25,785,271,344.96185,335,486,271,1,285,285,0.5,0.625,122.5,0,112.5,0,6.5,468.214,122.5,112.5
307,537.5,2,0.795,533.2145,60.6475,7.5,1.077,42.143,25.647,6,1.0535,16.0715,23.006,0,337.7697457,328.5,791.5,258,331.9506173,327.5,487,258,1,NA,NA,0,0,147.5,0,129,0,7,528.929,147.5,129
308,470,0.499857143,0.621975019,463.5715715,263.9710715,5.714071429,0.73853278,25.71414286,11.3389671,4.285714286,0.924709011,8.571285715,22.67807892,1,360.89375,349.25,647,288.5,352.4675,348,477.5,288.5,3,77.166665,231.5,0,0,140.54,0,132.335,0,4.5,461.4287143,140.54,132.335
309,259,0.0715,0.189,522.143,57.8935,9.5,0,45.36445,13.404,4.5,1.984,0,0,3.5,333.9806,320.25,687,248.5,325.92505,320,483,248.5,2.5,88.9165,242.5,0,0,134,0.5,121,0.5,8.5,512,136.5,123.5
310,127.5,0.2855,0.3935,439.2855,205.1545,6,2.4585,27.5,15.949,5.0715,2.6355,11.2855,25.721,0,360.68375,346.75,578.5,278,353.80745,345,483.5,278,3,46.5,112.5,1,1.2676505,176.245,0,189.34,0,4.5,372.857,176.245,189.34
311,490,2.2855,1.5585,528.9285,83.0275,7.0715,2.4635,12.857,14.0145,8.0715,1.315,32.429,54.15,2,391.60015,377.75,779,277.5,375.43482,374.5,493.5,277.5,6,172.166665,592.5,1,1.21215,188.3,0.5,170.1,0.5,7,508.2145,190.8,172.6
312,345,1,0.7555,445.7145,79.4115,6.9285,1.1925,124.2855,19.8,6.6425,1.263,76.286,91.0285,5.5,441.0811,360.25,3181.5,277.5,356.9971,354,479,277.5,9,500.95665,5479.5,0.5,0.609756,112.075,0,104.62,0,5.5,435,112.075,104.62
313,360,1.857,1.8125,482.143,136.0895,4.5,3.081,155.714,52.881,7.2855,2.203,428.5715,154.589,4,313.0397,302.5,466.5,260.5,311.85135,302.25,420.5,260.5,0.5,NA,NA,0.5,0.6329115,124.63,0,130.765,0,1.5,452.143,124.63,130.765
314,472.5,0.286,0.5825,476.786,45.185,7,1.718,25.3575,20.4615,5.9285,2.5885,397.143,100.997,6,325.165,321.5,417.5,271,325.165,321.5,417.5,271,0,NA,NA,0,0,117.905,0,109.35,0,6,480,117.905,109.35
315,358,0.643,0.6125,363.714,13.401,2.786,1.474,136.0715,76.172,10,0,0,0,0,309.10945,306,507,184.5,306.9451,306,387.5,184.5,0.5,NA,NA,0,0,113.5,0,100.5,0,3,363.714,113.5,100.5
316,390,0.214357143,0.432975019,469.2858572,87.88189316,6.928785715,1.347,34.28585715,32.07117452,8.714142857,1.312975019,361.4285,65.574,1.5,516.9073171,463,1621,301,404.5574512,402.5,494,301,30,216.503233,6364,2,2.444268293,146.42,0,136.03,0,6,464.6428572,146.42,136.03
317,480,0.643,0.8215,507.1425,50.911,6.429,1.9585,42.857,15.3375,7.5715,1.2555,28.0355,37.0625,0,376.0493994,368.5,590,288.5,370.4556962,366.75,490,288.5,2.5,52,129,0.5,0.617284,130,0,118.5,0,7,505.714,130,118.5
318,420,1.143,1.3395,515.357,71.5885,6,1.7155,45.714,27.1165,5.9285,1.3555,15.7145,19.67,0,437.37255,368,1457.5,304.5,376.1372,370,494,305.5,15,221.18335,1830.615,3,3.7937384,110,0.5,106.5,0,6,515.357,112.5,106.5
319,345,0.571,0.787,452.857,83.159,2.714,1.113,21.429,14.639,7.286,2.36,30,79.373,7,453.7969319,414.5,1119,303,403.1439732,400,495.5,302,14,184.4356726,2921.5,0.5,0.581395349,119,0.5,110.5,0,3,467.143,121.5,110.5
320,405,0.9285,0.95,463.9295,28.83,6.7145,1.0065,143.2135,63.0265,6.2145,1.566,68.5715,70.178,3.5,328.742,317.25,661,282,319.7125,316.75,420.5,282,3,87.25,214.5,0,0,136,0,122.5,0,6,447.8565,136,122.5
321,455,0.143,0.378,458,23.2975,7.143,1.77,20.713,29.871,4.2105,2.3335,30,79.3715,0,435.165,398.5,1325.5,189,393.6389,388.25,486.5,189,9,244.74835,2311,1.5,1.9060255,138.5,0,125,0,5.5,452.285,138.5,125
322,285,0.2145,0.3935,372.857,80.521,4.2145,0.879,29.286,30.4255,7.0715,1.3565,131.4285,162.1165,0,428.8253012,345,2517.5,270.5,347.5388128,337.25,496.5,270.5,7.5,611,5635.5,0.5,0.602409639,155,0,131,0,2,372.857,155,131
323,470,0.2145,0.2675,482.4285,67.5735,5.786,1.647,58.762,16.5155,7.214,1.4285,237.857,87.1145,2,330.4101,315.25,652,250,324.8748,315,469,250,1.5,102.75,192.5,0,0,161,0,144,0,5,482.4285,161,144
324,495,0.571,0.787,499.643,43.5135,7.5715,1.3365,47.143,13.496,8.2855,4.7505,265,109.9555,0,456.26745,397.25,1420,302,383.9944,382.5,494.5,302,16,189.8125,4078.5,3.5,3.875,148,0,141.5,0,8.5,486.488,148,141.5
325,380,0,0,427.8575,88.3105,7.643,1.4665,15.714,18.816,4.5,1.904,15,39.6865,0,368.94505,352,740.5,269.5,354.7886,347,497,269.5,5,98.333335,452.5,0,0,132,0,132,0,5,426.4285,132,132
326,390,0.643,1.0235,12.857,34.017,6.4285,2.367,73.9285,50.841,5.071,1.988,40.7145,85.793,0,363.5173236,340,806,268,349.75,333,498,268,4.843,83.8,419,1,1.176235294,139,0,143.5,0,4,470.357,139,143.5
327,420,1.2145,0.589,475.714,71.376,6.643,1.683,107.1425,36.121,6.9285,0.723,113.5715,47.6255,0,324.0114,308,552,257,318.98795,308,433,257,2,32.5,65,2,2.352,108.5,0,109.5,0,8,469.2855,108.5,109.5
328,300,0,0,456.2145,130.88,7.35,1.108,1.87,0.244,5.2,2.4785,165,110.95,3,335.5,335,466,28,335.5,335,466,28,0,NA,NA,9.5,11.7,175.5,0,183,0.5,4,456.245,175.5,185.5
329,375,0.643,0.7235,391.357,51.8685,4.4285,1.8765,59.2855,29.6555,7,1.6795,254.2855,61.5385,0,317.81475,314.25,428,267,317.81475,314.25,428,267,0,NA,NA,2,2.4651235,160.805,0,155.965,0.5,4,389.2145,160.805,158.465
330,472.5,0,0,567.143,56.87,6.7145,1.3335,41.071,8.949,5.714,1.032,23.4285,20.9605,0,344.5942195,333,451,288,344.5942195,333,451,288,0,NA,NA,0,0,138.5,1,127.5,0,5.5,548.5715,143.5,127.5
331,367.5,0.8795,1.778,452.25,63.0085,5.298,1.491,28.2735,32.9485,5.0235,1.713,0,0,0,410.3895,388.5,883.5,298,387.473,377.75,499.5,298,8.5,133.2,879.5,4.5,5.748,153.5,0,132,0,3.5,452.25,153.5,132
332,421.5,0,0,452,50.065,6,1.445,24.79,5.4975,5.36,1.8,131.355,92.53,0,397.59,383,936.5,299,381,373.5,496.5,299,5.5,121.235,652.5,2.5,3.163,171.5,1,135,0,7,453.4265,176.5,135
333,436.5,0.5,0.535,446.2855,53.098,6.5,1.62,47.5,19.284,5,1.668,0,0,0,350.1201,336,535.5,259.5,345.4689533,335.5,475.5,259.5,2,23.33333334,65,0,0,123.5,0,106.5,0,7,442.571,123.5,106.5
334,465,0.7145,0.845,500.7145,85.0075,8,1.1655,57.5,16.638,8.357,1.134,228.5715,92.9445,0,344.26105,336.25,570,284.5,338.7293838,335,446.5,284.5,2,50.3333,127,1,1.2274095,122.5,0,125.5,0,7,482.143,122.5,125.5
335,393.5,0.4285,0.345,426.83,21.79,7.28,1.699,46.07,2.835,5.64,1.805,14.2855,18.1265,0,324.37,317,482,252,324.37,317,482,252,0,NA,NA,0.5,0.588,78.085,0,66.795,0,7,409.645,78.085,66.795
336,367.5,1.0715,0.6645,460.2945,102.73,7,1.375,71.442,19.5135,5.2145,1.623,27.857,34.744,1,351.499,342,587,286.5,347.53075,340.75,460,286.5,1.5,49.5,98.5,0,0,166.5,0,162,0,7,460.2855,166.5,162
337,505,1.143,1.2665,457.857,47.679,4.4285,1.6555,43.9285,19.719,7.1425,1.5355,19.714,33.669,0,365.9766885,352,1096.5,259.5,356.1567963,350.25,469.5,332,1.5,450.75,597,1.5,1.822803195,122,0,123,0,3.5,457.857,122,123
338,600,1.5,1.254,475.9285,148.85,3.5715,2.0955,170.8335,64.054,5.071,2.1005,82.4285,27.8135,1.5,383.4173051,364.5,889,288,367.5899741,357,485,288,4,NA,NA,3,3.897401733,129.5,0.5,120,0.5,5.5,470.5715,132,122.5
339,600,1.0715,1.0065,535.357,34.2285,6.857,1.134,62.143,41.391,5.7855,1.826,0,0,0,318.359035,306.75,552,265.5,314.2375,306.5,437.5,265.5,1.5,45.25,64,0.5,0.609755,97.35,0,98.09,0,8,524.6425,97.35,98.09
340,487.5,0.643,0.9555,494.643,89.318,5.786,1.7455,40.7145,15.1845,5.8575,1.255,240.3575,77.5305,2.5,393.7654762,383.5,768.5,241,375.154166,380,487,399.5,5,148.4444445,980,2,2.410714286,146.95,0,136.95,0.5,7,491.786,146.95,139.45
341,471,4.286,0.488,516.714,71.563,4.857,0.378,32.143,53.686,5.286,1.254,84.286,48.941,0,331.7853916,313.5,635,256.5,326.9018137,313.25,475,256.5,1.5,78.5,138.5,0,0,122.5,0,119.5,0,4,516.714,122.5,119.5
342,570,0,0,520.714,75.852,5.571,2.37,34.2855,7.3195,4.2855,1.9215,63.2145,120.679,3.5,388.1575487,375.5,575.5,286.5,376.1091483,370.25,484.5,286.5,6,38.61111111,232.5,3.5,4.496753247,152.5,0,156,0.5,6,515.714,152.5,158.5
343,477.5,0.143,0.378,457.214,62.801,6.7855,0.896,26.4285,15.7515,5.786,2.098,76.286,85.186,1.5,351.038057,326.75,1181,266,341.6338865,326.5,473,266,0.5,NA,NA,0.5,0.574712645,129,0,127.5,0,6.5,409.357,129,127.5
344,665,0.4285,0.6375,501.4285,171.784,7,2.0685,20.3575,10.979,5.2855,2.1485,92.4285,121.6925,0,288.7916667,276.25,493,230.5,285.5833334,281.75,415,230.5,1,NA,NA,0.5,0.595238095,105,1,99.5,0,6,501.4285,110,99.5
345,308,0.0715,0.189,505.14,46.53,4.93,1.7,52.5,21.43,6.425,1.165,5.715,15.12,0,310.91,303,537,267,307.685,302.5,468,267,1,NA,NA,0,0,87,0,82,0,3.5,501.94,87,82
346,465,0.357,0.5825,465,23.3725,7.5,0.9605,62.857,25.1365,5.5,1.055,103.9285,124.068,0,352.7174797,345.75,617,278,347.2654321,345,463.5,278,2,79.66666667,154,0,0,138.505,0,136.58,0,6.5,465,138.505,136.58
347,510,0.143,0.244,549.5,100.4,7.215,1.505,25.7,43.9,4.71,3.27,102.85,98.75,0,510,444,1757.5,302,405.5,409.5,495.5,302,23,181.7,5930,2,2.655,116.5,0,112.5,0,7.5,549.5,116.5,112.5
348,420,1.286,0.833,422.143,70.576,6.8575,1.103,85.7145,28.1345,3.5,1.0235,118.5715,73.2765,7,340.8205128,329,568.5,281.5,337.8205128,330.5,482.5,281.5,4,77.83333334,249,2,2.425476191,110.5,0,101.5,0,8.5,467.143,110.5,101.5
349,412.5,0.143,0.378,518.857,65.7085,3.7855,1.4525,57.8575,35.483,5,1.625,14.7145,32.767,7,378.71485,365.25,707,299,373.73815,363.75,479.5,299,1.5,144.5,210,5,6.219946836,126.5,0,138,0.5,4.5,492.857,126.5,140.5
350,450,0,0,456.4285,63.524,4.7145,0.9745,47.8575,11.0145,7.357,1.421,0,0,0,474.35595,399,2286.5,292,390.29785,383.5,496.5,292,13.5,346.22225,5068,1,1.24613,171,0,139.5,0,5.5,456.4285,171,139.5
351,360,1.214,0.622,403.9285,78.6825,5.5,1.848,45,37.9675,4.5,1.1455,54.643,58.0475,0,358.6281772,335,785.5,277.5,347.8020715,332,470,277.5,3.5,75.2,343,0,0,115.96,0,107.045,0,5,394.286,115.96,107.045
352,691.5,0.2855,0.3935,551.3575,95.7845,6.9285,1.489,45.3575,30.756,6.5715,2.8355,44.9285,61.7335,6.5,406.8800706,388.5,1049,306.5,386.5474026,384.75,494.5,306.5,5.5,176.9107143,977,1,1.298701299,163.695,0,151.805,0,6,512.0715,163.695,151.805
353,405,0,0,443.2145,106.619,3.714,1.9015,54.286,10.5525,7.643,3.546,184.2145,81.3225,1,432.5367997,188.0013624,1603,284,361.9292308,353.5,484.5,284,5.561552813,287.0833333,4407,2,2.516619183,201.37,0.5,135.1,1,2,431.786,203.87,140.1
354,165,0.571,0.535,380.714,144.763,5.9285,2.171,27.857,30.696,7.786,1.972,27.143,47.3155,0,370.2458585,351.75,939.5,288.5,356.6451587,351.5,479,288.5,3.5,166.875,613,4,4.84186747,142,0,127.5,0,4,355,142,127.5
355,526,0.0715,43.789,470.65,78.05,7.869,1.1275,49.2855,58.0495,6.2145,2.1495,195,51.235,0,351.3116883,307.5,577.5,278.5,343.9687671,334.5,482,278.5,3,52.375,150,1,1.298701299,133,0,119.5,0,6.5,455.5,133,119.5
356,450,1.714,0.756,548.5715,84.745,4.5715,1.598,40.7145,18.6915,5.0715,1.565,37.143,34.744,2,361.02465,351.75,550.5,180,357.56025,350.5,484.5,180,1.5,NA,NA,1,1.1627905,147.5,0,128.5,0,5.5,497.143,147.5,128.5
357,459.5,3.2855,1.3045,526.5,102.185,5.857,1.594,41.107,35.6265,5.143,1.789,87.155,57.1345,0,359.56625,352,538.5,292.5,356.49475,350.75,470.5,292.5,1.5,32.75,41.5,0,0,127.5,0,123,0,5.5,513.0715,127.5,123
358,502.5,0.9285,1.7075,462,86.072,8.571,1.8535,102.857,69.0235,5.643,2.0285,15,39.6865,3.5,354.3747,329.25,1027,229.5,331.29775,325.25,460,229.5,3.5,259.25,1243,1.5,1.875,142.5,0,119.5,0,4,455.5715,142.5,119.5
359,492,0.5,0.787,471,48.5885,6.143,1.2905,35,4.33,5.7145,1.443,230.857,51.539,0,380.7552,360,821,208.5,360.92,359,472,208.5,6,139.614285,782.5,0.5,0.6329115,160,0,154.5,0,3.5,471,160,154.5
360,310.5,0.2145,0.433,394,72.6135,6.5715,1.701,71.7855,24.5845,4,1.2525,125.7145,148.8355,1,318.2038,309.25,498.5,276,316.8205,309.25,432.5,276,0.5,NA,NA,2.5,3.1889,130,0,118.5,0,5,394,130,118.5
361,510,0.857,0.8435,565.714,86.993,5.214,1.2465,92.143,38.633,6.071,0.8815,191.143,121.198,6,355.0560098,342,578,284.5,349.9820084,341,475.5,284.5,2,60.66666667,125,0.5,0.602409639,145,0,135.64,0,5,565.723,145,135.64
362,476.5,1.143,1.0565,530.5,89.0835,5.9285,3.3025,15.714,26.837,4.9985,2.9545,26.5715,54.746,2.5,366.6084337,353.5,561.5,290,359.2746832,352,480,290,3.5,NA,NA,0.5,0.602409639,165,0,128,0,5,481.2145,165,128
363,390,0.857,0.8435,464.5,84.851,6.9285,0.5345,61.0715,28.297,6.857,1.7545,196.429,66.144,0,420.798,397.5,1138,295,397.991,389.25,496.5,295,6.5,198.1805,1290.5,2.5,3.213875,127,0,124,0,5,448.0715,127,124
364,485,1.857,1.3585,462.7855715,52.72257203,7.214285715,1.401,32.143,17.56113516,6.071214286,1.830428946,44.28564286,59.72839936,0,411.4570688,396,783,290.5,385.7004831,335,496,290.5,10.5,84.62727273,884,0.5,0.632911393,161.5,0,129,0,5,458.505,161.5,129
365,401,0.429,0.535,410.6425,69.6145,5.5,1.759,64.643,40.5115,6.9285,1.0505,362.5,139.1225,2,441.2260244,417,1518.5,310.5,408.1791045,408,495,310.5,11.5,134.4962121,1542,751.5,2.547874067,178.185,0,297.775,0,7,410.6425,178.185,297.775
366,470,0.857,0.951,490.7145,78.137,6.857,1.0225,43.9285,16.1425,5.857,0.7385,0,0,0,317.8810609,311,517.5,270,315.0971846,310,463.5,270,1,NA,NA,0,0,130,0,121.5,0,6.5,482.143,130,121.5
367,502.5,2.2145,1.119,464.7145,88.406,8.2115,1.2375,45.714,27.006,5.214,1.586,18.9285,48.0395,0,348.01175,332.75,943,273.5,337.7512,332,482.5,273.5,2,397.165,489.5,2.5,3.222,121.8,0,119.7,0,5,463.286,121.8,119.7
368,470,1,0.6965,452.143,51.925,7.5715,0.9015,46.0715,67.834,7.143,0.802,8.9285,11.167,0,359.382429,346.75,735.5,291,350.3764706,344.75,450.5,291,2,225,437,1.5,1.81596325,131,0.5,120,0,6.5,447.857,133.5,120
369,502,1.5,1.625,529.0715,82.3385,7.214,1.6235,0,0,6.143,1.4295,40.7145,45.6875,0,353.0733666,343.5,765,286,345.1594077,342,455,286,2,182.75,365.5,0,0,141.5,0,135,0,7,516.214,141.5,135
370,540,0.714,0.8435,485.693,79.6365,6.225,1.317,47.45,24.257,5.357,1.557,71.75,66.683,4,299.79,294,488,245.5,298.095,294,393,245.5,0.5,NA,NA,3,3.5385,151,0,135.5,0,5.5,475.55,151,135.5
371,525,0.5,0.488,479.2855,106.2675,7.643,1.098,123.5715,73.785,4.2855,2.5815,2.4285,6.4255,0,318.268321,302,588,250,313.5715278,300.75,490,250,1.5,82,110,0,0,92,0,85,0,5.5,470.7145,92,85
372,370,0.2145,0.567,452.5,126.9335,5.9285,1.964,21.071,17.962,6.5715,1.253,9.2855,18.633,1,390.1084337,375,715,288,380.0125,373.5,498,288,3,159.3333167,478,2,2.409638777,138,0,121,0,5.5,448.2145,138,121
373,417.5,4.286,1.666,428.786,45.4725,5.643,1.28,60.607,28.9295,7.9285,2.101,302.143,58.242,5.5,443.9025,362.25,2184.5,297.5,384.899025,354,469.5,297.5,156,464.4705,5473.5,0.5,0.625,119.55,0,105.885,0,5,428.786,119.55,105.885
374,480,3.0715,1.1235,513.214,35.118,6.5,1.6735,37.857,24.256,4,1.4415,26.4015,69.9235,0,305.8221,296.25,587,248,301.40835,295.5,436,248,1,NA,NA,2,2.3392905,129.5,0,105.5,0,4.5,513.214,129.5,105.5
375,457.5,0.9285,0.858,476.786,63.1705,5.3575,1.598,46.0715,12.6755,4.9285,1.782,22.8575,36.4995,1,328.15295,320,475.5,273.5,328.15045,320,475.5,273.5,0,NA,NA,1,1.234568,126,0.5,117.5,0.5,3.5,463.9285,128.5,120
376,480,0.5,0.661,495.7145,87.3425,6.0715,2.254,49.7855,36.07,5.2145,1.891,35.625,40.659,2.5,315.875295,311,462,267,315.875295,311,462,267,0,NA,NA,0.5,0.595,112.895,0,102.84,0,6,495.7145,112.895,102.84
377,465,0.0715,0.189,0,0,4.643,1.3085,30,0,4.9285,0.932,0,0,0,349,341.5,600,275.5,344.5,340,485,275.5,1.5,94,136,0,0,154,0,137.5,0,3.5,454.0715,154,137.5
378,420,0,0,415.7145,55.715,5.571,1.791,23.071,54.7775,6.143,1.454,29.5715,35.2755,0,387.9037,376.75,711,272,369.8871,369.25,486,272,6.5,95.125,555.5,3.5,4.4127085,120.5,0,112.5,0,5,433.714,120.5,112.5
379,397.5,1.286,1.747,434.0715,83.341,6.5715,1.778,43.9285,21.558,7.0715,2.078,32.1425,55.7365,0,400.5597944,382.75,867,297.5,384.2201446,378.75,499.5,297.5,6,91.85,696.5,1,1.190476191,120.44,0,112.445,0,4.5,419.714,120.44,112.445
380,470,1.286,1.113,574.643,83.7555,6.2145,2.54,25,35.678,4.714,1.8705,17.857,19.063,2,315.4129,304.5,579,228,309.49185,301.25,445.5,228,2,59,103,0.5,0.595238,136,0,129,0,5.5,511.429,136,129
381,450,3.143,1.9445,432.857,70.2935,4.5,1.2775,27.143,26.928,4.7855,1.302,112.143,43.839,7,360.3476,349.5,871.5,225,346.5981,346.75,473.5,225,3,186.625,686.5,1,1.2195,109.5,0,114,0,4.5,432.857,109.5,114
382,442.5,0.5715,0.6455,459.643,26.4365,8.3575,1.7645,120,71.644,6.7145,1.994,31.143,32.307,0,508.95,393,3720.5,317.5,384.14,378.5,488.5,317.5,13,577.5,8510,0,0,110.2,0.5,105.9,0,5,506.4285,112.7,105.9
383,450,0,0,469.2855,62.042,3.9285,1.975,0,0,8.0715,0.866,42.857,74.602,6.5,404.8735,370,1384.5,289.5,369.6509,366.75,490,327.5,6,389.3143,2116,0,0,120,0,110,0,5.5,465,120,110
384,490,1.5,0.9035,456.786,81.132,6.5715,1.832,18.5715,4.255,2.786,1.2775,0,0,0,156.0329093,306.25,384.5,260.5,306.6979167,306.25,384.5,260.5,0,NA,NA,0.5,0.625,169,0,165,0,6,456.786,169,165
385,475,1.071,1.124,583.5715,66.6225,7.5,2.009,46.6425,16.762,6.5715,1.551,74.5715,11.257,0,354.2331,345.5,552,302.5,352.6496,345.25,472,302.5,0.5,NA,NA,0,0,53,0,114.5,0,6,579.286,53,114.5
386,420,2.357,1.3945,421.286,61.348,6.2145,1.01,50.357,11.793,6.4285,1.0505,184.286,37.225,7,401.5582,385.5,649,296.5,388.59335,379.25,488,296.5,6,62.95,369.5,1.5,1.923077,130,0.5,128.5,0,6,421.286,132.5,128.5
387,450,0.0715,0.189,490.715,50.975,9.57,0.189,55.715,37.19,6.57,1.095,210,0,0,323.378,314.5,465,261,323.378,314.5,465,261,0,NA,NA,2,2.4395,141.5,0,117,0,4.5,432.85,141.5,117
388,457.5,1.7855,1.8655,503.2145,58.102,4.357,1.509,50,44.242,4.5,1.345,71.5,62.904,2,343.315701,323.5,627,273,334.4444079,271.75,455.5,273,3,65.75,222,0.5,0.625,116.5,0,138.5,0,4.5,496.0715,116.5,138.5
389,450,0.9285,0.9165,475.7145,67.518,6.143,1.2675,12.857,16.0355,6.357,1.233,203.857,108.738,3.5,392.5602077,366,808.5,260.5,367.8944131,358,495.5,260.5,8,124.7916667,964.5,1,1.273937034,133,0,116,0,5.5,475.7145,133,116
390,510,0,0,487.5,54.151,6.3575,0.869,64.286,44.51,7,0.7235,40.571,47.379,0,386.49045,366.5,829,294.5,368.8784,363,472,294.5,4.5,147.375,867.5,1,1.22704,119,0,99.5,1.5,6,485,119,107
391,450,0.357,0.5825,476.786,55.6505,8.286,1.594,34.6425,16.7705,6.643,1.373,264.286,55.1185,2.5,456.7792,406.2533,2827.5,303.5,396.3104,386.5,493.5,303.5,11.5,215.85,3630.5,0.5,0.6329115,122.5,0,127,0.5,8.5,461.7855,122.5,129.5
392,435,0.786,0.875,441.4285,47.6095,6.643,1.0225,54.2855,9.9275,6.4285,1.9145,161.7855,80.5925,0,356.8414488,328,917.5,279.5,337.7967106,326.5,488.5,279.5,4,268.25,896.5,0,0,136.03,1.5,128.955,0,7.5,441.4285,143.53,128.955
393,414.5,1.143,0.938,480.357,129.605,3.857,2.0895,41.786,16.109,7.643,2.308,250.214,46.0325,0,302.4683,290,471,239.5,302.4683,290,471,239.5,0,NA,NA,2,2.484568,133.5,0,124.5,0,6.5,475.1415,133.5,124.5
394,487.5,0.857,1.142,467.1425,49.163,6.2855,0.8015,53.5715,24.464,6.214,1.1025,188.857,67.0715,0,334.628613,331,514,256.5,333.5080883,331,493,256.5,0.5,NA,NA,3,3.645606391,136.5,0,126,0,6,459.6425,136.5,126
395,450,1.6425,0.6455,251.7855,45.337,6.643,19.8795,59.702,25.0965,6.5,2.49,114,0,0,395.5769,372.5,1421,298,376.4964,368.75,485.5,298,4.5,216.4643,1406.5,2,2.5015515,144.5,1,137.5,0.5,6,462.8575,149.5,140
396,440,0,0,476.4285,37.5515,8.143,0.9645,45.714,24.806,6.2855,1.6315,32.143,40.089,0,367.75375,344.5,1067,295,349.66305,341,479.5,295,4,212.25,849,0.5,0.6329115,112.33,0,107.135,0,5.5,476.4285,112.33,107.135
397,475,0.4285,0.6645,481.5715,70.204,7.2855,1.195,54.2855,26.9285,7.1425,1.1955,8.9285,11.534,0,358.1259,346,530.5,276.5,352.28175,164.751381,485.5,276.5,3,21.625,65.5,1,1.169631,109.5,0,97.5,0,7,475.571,109.5,97.5
398,405,0,0,454.286,31.721,7.0715,0.787,60,0,3.7145,1.89,4.9285,13.04,0,327.8606,0.0030515,398,285,327.8606,324.5,398,335,0,NA,NA,0,0,122,0,127,0,7,454.286,122,127
399,424,1.929,1.347,450.357,60.312,4.964,1.937,52,30.0905,5.571,1.449,178.286,71.272,0,448.4848231,417.75,1439.5,314.5,402.2978074,398.5,495.5,314.5,13.5,157.6874834,2447.5,3,3.863022705,144.5,0,136,0,3.5,450.357,144.5,136
